mode,gamma,delivery_start,raw_cost,D_ch_norm,D_dis_norm,total_charge_MWh,total_discharge_MWh,sat_hours,sat_MWh
dual-price,0.0005,2018-07-28 00:00:00+00:00,2052.88221456427,4.192889107074541,3.333186149597736,11.24659781836363,10.229658604520953,5,0.5150984257060465
dual-price,0.001,2018-07-28 00:00:00+00:00,2052.171116952596,4.155923588200631,3.320041754189926,11.053163139449397,10.04982085798555,5,0.5083339103632065
dual-price,0.005,2018-07-28 00:00:00+00:00,2052.1674457909694,4.08272888044687,3.311363095878178,10.832956332776797,9.840204972279336,5,0.49371708747780463
dual-price,0.01,2018-07-28 00:00:00+00:00,2050.895122644906,4.003532347674083,3.2449772895253988,10.828848206517765,9.837122471302585,4,0.47602935934750423
dispatchability,0.0,2018-07-28 00:00:00+00:00,,40.19364474278063,41.02084391619482,25.421118452916083,23.529400424691207,11,17.53653357041889
dispatchability,0.0001,2018-07-28 00:00:00+00:00,,7.056942654563141,7.62893120365409,23.676851963495817,22.00165417595899,13,9.468905228685323
dispatchability,0.0005,2018-07-28 00:00:00+00:00,,5.124548488926509,5.240444487296417,23.263755801554716,21.656588689408885,10,9.096830833400544
dispatchability,0.001,2018-07-28 00:00:00+00:00,,4.515297823122483,4.268150059974638,22.56393130375313,21.047333968627854,10,8.644061206314818
dispatchability,0.005,2018-07-28 00:00:00+00:00,,3.280933504520472,2.4420546511595504,20.167173396881537,18.93429822399476,9,3.9295236303907957
dispatchability,0.01,2018-07-28 00:00:00+00:00,,2.689767213295635,1.7610432817243042,15.214668023637904,14.451741311210505,6,3.0943604405088143
single-price,0.0,2018-07-29 00:00:00+00:00,2997.5599686094574,0.0,0.0,6.426592797783934,5.8,0,2.220446049250313e-16
single-price,0.0001,2018-07-29 00:00:00+00:00,2997.5599687821327,1.6178361861157492e-07,4.789295752780516e-09,6.426592793005326,5.799999996938026,0,1.3858257692056563e-09
single-price,0.0005,2018-07-29 00:00:00+00:00,2997.5599688049765,2.378750913827278e-08,2.519884404680983e-09,6.426592802645743,5.8000000053411505,0,1.0563644242106575e-09
single-price,0.001,2018-07-29 00:00:00+00:00,2997.5599688731645,3.3949084146926495e-07,2.734420883167955e-09,6.426592796466422,5.799999999382666,0,6.334821632965695e-10
single-price,0.005,2018-07-29 00:00:00+00:00,2997.5599686221003,1.8401628027952232e-08,9.297371290317991e-11,6.426592797592575,5.799999999846486,0,2.1257069408659315e-11
single-price,0.01,2018-07-29 00:00:00+00:00,2997.559968916705,6.883607492480972e-07,1.5609042840010295e-09,6.426592792808351,5.7999999958344475,0,3.6001477299659777e-10
dual-price,0.0,2018-07-29 00:00:00+00:00,3093.4389473631586,4.3709532758418375,3.0216884947402027,7.864792968709884,6.839480705024171,5,0.8859120806992966
dual-price,0.0001,2018-07-29 00:00:00+00:00,3093.4389473820825,4.370953275185375,3.021688495392334,7.864792968529087,6.839480704899987,5,0.8859120806224838
dual-price,0.0005,2018-07-29 00:00:00+00:00,3093.4389475106004,4.370953274253632,3.021688495400194,7.86479296845827,6.839480704959086,5,0.8859120802563879
dual-price,0.001,2018-07-29 00:00:00+00:00,3093.4389482541537,4.370953276658476,3.0216884962246455,7.864792974200119,6.839480710055428,5,0.8859120804708152
dual-price,0.005,2018-07-29 00:00:00+00:00,3092.9272390647197,4.36845853264712,3.02144989753605,7.858586598221768,6.833887876167163,5,0.8859205006393425
dual-price,0.01,2018-07-29 00:00:00+00:00,3092.178906867827,4.338100016200593,2.986981941802737,7.8193560894589345,6.798956744191342,5,0.8852547138148508
dispatchability,0.0,2018-07-29 00:00:00+00:00,,32.89387571146288,33.95792445087081,19.082980571848708,16.558583097829505,4,0.9816020090475208
dispatchability,0.0001,2018-07-29 00:00:00+00:00,,7.684725482588751,8.787171822512613,14.360320659632798,12.315134462038447,4,0.9576249581064857
dispatchability,0.0005,2018-07-29 00:00:00+00:00,,5.003922086552637,5.690034333948907,12.550578824923324,10.652466848258403,5,0.9887304026573758
dispatchability,0.001,2018-07-29 00:00:00+00:00,,4.045149762578515,4.550430938972935,11.847945234216702,10.014682912949,5,0.9918132246290643
dispatchability,0.005,2018-07-29 00:00:00+00:00,,3.094321770592838,2.7867506371979776,8.984551881590198,7.554695294303517,6,1.1425204791351324
dispatchability,0.01,2018-07-29 00:00:00+00:00,,2.6067024919135324,1.9604438459927693,7.10766963745244,5.878254352097921,6,1.1429525627661137
single-price,0.0,2018-07-30 00:00:00+00:00,2415.0541232129535,0.0,0.0,8.421052631578949,7.6,0,4.440892098500626e-16
single-price,0.0001,2018-07-30 00:00:00+00:00,2415.0541232342525,4.25729243377493e-10,1.487368799783808e-10,8.421052632707635,7.600000000947663,0,2.1919361608608284e-10
single-price,0.0005,2018-07-30 00:00:00+00:00,2415.0541234836237,4.693236544259251e-09,1.996073605490128e-09,8.421052642255566,7.600000009162108,0,2.789628612715522e-09
single-price,0.001,2018-07-30 00:00:00+00:00,2415.0541232154965,8.007735939661989e-11,1.5467763774214668e-11,8.421052631692817,7.600000000088668,0,3.0057784259601095e-11
single-price,0.005,2018-07-30 00:00:00+00:00,2415.054123566149,2.1915911543540596e-08,5.521700142357754e-09,8.421052646309164,7.600000012690033,0,3.5266767107440482e-09
single-price,0.01,2018-07-30 00:00:00+00:00,2415.0541232137125,4.4687579037216356e-11,1.0160461458675625e-11,8.421052631611015,7.6000000000332895,0,5.278458283453504e-12
dual-price,0.0,2018-07-30 00:00:00+00:00,2871.2771094194427,2.135510030753773,4.066818978395058,9.842687188699577,8.924049245722461,1,0.04545601985716663
dual-price,0.0001,2018-07-30 00:00:00+00:00,2871.2771084578762,2.1355099821913397,4.066818413017207,9.842686976311484,8.924049014506911,1,0.04545597605046761
dual-price,0.0005,2018-07-30 00:00:00+00:00,2871.277159558639,2.1355088865478824,4.066812467524798,9.842687124470622,8.924048387532759,1,0.04545513318300265
dual-price,0.001,2018-07-30 00:00:00+00:00,2871.4318969617393,2.134987917002017,4.052984762591762,9.845010537185232,8.92614605587845,1,0.04545600672440714
dual-price,0.005,2018-07-30 00:00:00+00:00,2871.4894888510294,2.137159588490241,4.035087979567269,9.830341594801187,8.912894018423284,1,0.045441251097189606
dual-price,0.01,2018-07-30 00:00:00+00:00,2871.6803310472915,2.1384587510915454,4.020398917040876,9.829319156332506,8.91199118355717,1,0.04546331852308458
