price_model,k,box_lo,box_hi,delivery_start,total_charge_MWh,total_discharge_MWh,sat_hours,total_cost
single,0,0.2,0.8,2018-01-13 00:00:00+00:00,10.537396121883656,9.51,0,4373.07447305307
single,0,0.25,0.75,2018-01-13 00:00:00+00:00,10.537396121883656,9.51,0,4373.07447305307
single,0,0.3,0.7,2018-01-13 00:00:00+00:00,10.537396121883656,9.51,0,4373.07447305307
single,0,0.35,0.65,2018-01-13 00:00:00+00:00,10.537396121883656,9.51,0,4373.07447305307
dual,0,0.05,0.95,2018-01-13 00:00:00+00:00,11.51377740127105,10.39118410464712,0,4411.118450825068
dual,0,0.1,0.9,2018-01-13 00:00:00+00:00,10.145347521355653,9.156176138023477,0,4418.563878823639
dual,0,0.15,0.85,2018-01-13 00:00:00+00:00,10.11148226964874,9.054813303404028,3,4417.7338132384575
dual,0,0.2,0.8,2018-01-13 00:00:00+00:00,10.231605885977439,9.102458633111647,4,4428.139075928598
dual,0,0.25,0.75,2018-01-13 00:00:00+00:00,10.046738655414785,8.794516699337402,13,4438.598414939227
dual,0,0.3,0.7,2018-01-13 00:00:00+00:00,10.161094374901346,8.947849501129685,12,4431.174069637112
dual,0,0.35,0.65,2018-01-13 00:00:00+00:00,10.034382664916684,9.058352250448253,13,4449.716444589488
single,0,0.05,0.95,2018-01-14 00:00:00+00:00,10.526315789473685,9.5,0,3964.9173788149324
single,0,0.1,0.9,2018-01-14 00:00:00+00:00,10.526315789473685,9.5,0,3964.9173788149324
single,0,0.15,0.85,2018-01-14 00:00:00+00:00,10.526315789473685,9.5,0,3964.9173788149324
single,0,0.2,0.8,2018-01-14 00:00:00+00:00,10.526315789473685,9.5,0,3964.9173788149324
single,0,0.25,0.75,2018-01-14 00:00:00+00:00,10.526315789473685,9.5,0,3964.9173788149324
single,0,0.3,0.7,2018-01-14 00:00:00+00:00,10.526315789473685,9.5,0,3964.9173788149324
single,0,0.35,0.65,2018-01-14 00:00:00+00:00,10.526315789473685,9.5,0,3964.9173788149324
dual,0,0.05,0.95,2018-01-14 00:00:00+00:00,10.01969545766903,8.945215618565673,4,4051.8842046207515
dual,0,0.1,0.9,2018-01-14 00:00:00+00:00,10.3809116600658,9.323394259266596,6,4045.493164688561
dual,0,0.15,0.85,2018-01-14 00:00:00+00:00,9.680261003041753,8.7058798391525,12,4044.23201432515
dual,0,0.2,0.8,2018-01-14 00:00:00+00:00,9.412635812211196,8.455626065815157,12,4043.7188127573813
dual,0,0.25,0.75,2018-01-14 00:00:00+00:00,9.080851401303914,7.91945189552186,13,4057.359266881784
dual,0,0.3,0.7,2018-01-14 00:00:00+00:00,9.529901618846973,8.329454473584034,14,4056.7898664380687
